"","p.geomean","stat.mean","p.val","q.val","set.size","exp1","path","process"
"GO:0071840 cellular component organization or biogenesis",3.34903567511502e-07,5.01954974854825,3.34903567511501e-07,0.000122661962497374,326,3.34903567511502e-07,"GO:0071840 cellular component organization or biogenesis","bp"
"GO:0002376 immune system process",3.44677810168287e-07,5.08126501773695,3.44677810168288e-07,0.000122661962497374,140,3.44677810168287e-07,"GO:0002376 immune system process","bp"
"GO:0006955 immune response",3.52032956860141e-07,5.17781537307802,3.52032956860141e-07,0.000122661962497374,77,3.52032956860141e-07,"GO:0006955 immune response","bp"
"GO:1903047 mitotic cell cycle process",4.02013560187337e-07,5.34722178875571,4.02013560187339e-07,0.000122661962497374,46,4.02013560187337e-07,"GO:1903047 mitotic cell cycle process","bp"
"GO:0016043 cellular component organization",5.02954227077995e-07,4.93811562761663,5.02954227077994e-07,0.000122661962497374,324,5.02954227077996e-07,"GO:0016043 cellular component organization","bp"
"GO:0022402 cell cycle process",5.32156019511386e-07,5.10808458705968,5.32156019511383e-07,0.000122661962497374,71,5.32156019511386e-07,"GO:0022402 cell cycle process","bp"
"GO:0002682 regulation of immune system process",2.53508801299867e-06,4.71058950803615,2.53508801299868e-06,0.000487259292782978,87,2.53508801299867e-06,"GO:0002682 regulation of immune system process","bp"
"GO:0007049 cell cycle",2.81856423880247e-06,4.68131747566794,2.81856423880248e-06,0.000487259292782978,90,2.81856423880247e-06,"GO:0007049 cell cycle","bp"
"GO:0050776 regulation of immune response",3.7054158979643e-06,4.76330771052653,3.70541589796431e-06,0.000548610461715,46,3.7054158979643e-06,"GO:0050776 regulation of immune response","bp"
"GO:0000278 mitotic cell cycle",3.96681461832972e-06,4.69280394249377,3.96681461832972e-06,0.000548610461715,56,3.96681461832972e-06,"GO:0000278 mitotic cell cycle","bp"
"GO:0006996 organelle organization",6.30338091499205e-06,4.43807106758515,6.30338091499207e-06,0.000792506891403094,157,6.30338091499205e-06,"GO:0006996 organelle organization","bp"
"GO:0002684 positive regulation of immune system process",1.28019764248859e-05,4.37401809005145,1.2801976424886e-05,0.00147542778296811,63,1.28019764248859e-05,"GO:0002684 positive regulation of immune system process","bp"
"GO:0006974 cellular response to DNA damage stimulus",1.53792847810468e-05,4.61535740482648,1.53792847810469e-05,0.00163611929632214,28,1.53792847810468e-05,"GO:0006974 cellular response to DNA damage stimulus","bp"
"GO:0050778 positive regulation of immune response",2.97786651251931e-05,4.26470815764799,2.97786651251932e-05,0.00294170670486729,38,2.97786651251931e-05,"GO:0050778 positive regulation of immune response","bp"
"GO:0002250 adaptive immune response",3.70505271370549e-05,4.26382321629745,3.70505271370548e-05,0.0032404144662185,31,3.70505271370549e-05,"GO:0002250 adaptive immune response","bp"
"GO:0000819 sister chromatid segregation",3.74885260010815e-05,4.74530612366596,3.74885260010817e-05,0.0032404144662185,19,3.74885260010816e-05,"GO:0000819 sister chromatid segregation","bp"
"GO:0010564 regulation of cell cycle process",4.84979724084393e-05,4.14726140086735,4.84979724084395e-05,0.00366162612162065,36,4.84979724084393e-05,"GO:0010564 regulation of cell cycle process","bp"
"GO:0000280 nuclear division",4.93315147408977e-05,4.12648808010794,4.93315147408977e-05,0.00366162612162065,38,4.93315147408977e-05,"GO:0000280 nuclear division","bp"
"GO:0006950 response to stress",5.17120777719365e-05,3.92744054503297,5.17120777719365e-05,0.00366162612162065,178,5.17120777719366e-05,"GO:0006950 response to stress","bp"
"GO:0044772 mitotic cell cycle phase transition",5.29519323444779e-05,4.21394433948855,5.2951932344478e-05,0.00366162612162065,28,5.29519323444779e-05,"GO:0044772 mitotic cell cycle phase transition","bp"
"GO:0001775 cell activation",6.51669109568271e-05,3.95220061961212,6.51669109568271e-05,0.00429170656444247,62,6.5166910956827e-05,"GO:0001775 cell activation","bp"
"GO:0140014 mitotic nuclear division",6.96705342636603e-05,4.17338973279381,6.96705342636604e-05,0.00437974313121101,26,6.96705342636602e-05,"GO:0140014 mitotic nuclear division","bp"
"GO:0045321 leukocyte activation",8.29936045840396e-05,3.89750487317077,8.29936045840395e-05,0.00487948366040143,57,8.29936045840396e-05,"GO:0045321 leukocyte activation","bp"
"GO:0051301 cell division",8.88925790398967e-05,3.93553353050737,8.88925790398973e-05,0.00487948366040143,41,8.88925790398967e-05,"GO:0051301 cell division","bp"
"GO:0044770 cell cycle phase transition",8.96453578424426e-05,4.03380344780538,8.96453578424428e-05,0.00487948366040143,29,8.96453578424426e-05,"GO:0044770 cell cycle phase transition","bp"
"GO:0033043 regulation of organelle organization",9.32222739056031e-05,3.85240744284525,9.32222739056029e-05,0.00487948366040143,64,9.32222739056031e-05,"GO:0033043 regulation of organelle organization","bp"
"GO:0048856 anatomical structure development",9.62472743947473e-05,3.7488723269769,9.62472743947476e-05,0.00487948366040143,348,9.62472743947473e-05,"GO:0048856 anatomical structure development","bp"
"GO:0000070 mitotic sister chromatid segregation",9.87892570435579e-05,4.43736821729586,9.87892570435576e-05,0.00487948366040143,17,9.87892570435578e-05,"GO:0000070 mitotic sister chromatid segregation","bp"
"GO:0048285 organelle fission",0.000105575501131599,3.88276318766021,0.0001055755011316,0.00503485924362077,42,0.000105575501131599,"GO:0048285 organelle fission","bp"
"GO:0002252 immune effector process",0.000145533530298646,3.78548258688705,0.000145533530298646,0.00670909574676759,42,0.000145533530298646,"GO:0002252 immune effector process","bp"
"GO:0032502 developmental process",0.000156016619988763,3.62234651566178,0.000156016619988763,0.00696035436917611,370,0.000156016619988763,"GO:0032502 developmental process","bp"
"GO:0046649 lymphocyte activation",0.000174463002000693,3.71808541164488,0.000174463002000693,0.00745904219392589,46,0.000174463002000693,"GO:0046649 lymphocyte activation","bp"
"GO:0048513 animal organ development",0.000177981484019924,3.59875182501669,0.000177981484019924,0.00745904219392589,223,0.000177981484019924,"GO:0048513 animal organ development","bp"
"GO:0007059 chromosome segregation",0.000215413341994847,3.76463367921673,0.000215413341994846,0.00876225446996682,28,0.000215413341994847,"GO:0007059 chromosome segregation","bp"
"GO:0007275 multicellular organism development",0.000236520114501143,3.51366072231083,0.000236520114501142,0.00909634552848447,323,0.000236520114501143,"GO:0007275 multicellular organism development","bp"
"GO:0044085 cellular component biogenesis",0.000236781228507188,3.5392025466903,0.000236781228507188,0.00909634552848447,134,0.000236781228507188,"GO:0044085 cellular component biogenesis","bp"
"GO:0048869 cellular developmental process",0.000279731016041708,3.47070967512698,0.000279731016041709,0.0104558917617752,280,0.000279731016041708,"GO:0048869 cellular developmental process","bp"
"GO:0051726 regulation of cell cycle",0.00029588890681381,3.53654332571661,0.00029588890681381,0.0107687988979868,57,0.00029588890681381,"GO:0051726 regulation of cell cycle","bp"
"GO:0051716 cellular response to stimulus",0.000305945750948312,3.44138962071762,0.000305945750948312,0.0108493070143978,366,0.000305945750948312,"GO:0051716 cellular response to stimulus","bp"
"GO:0032501 multicellular organismal process",0.000322620315304558,3.42471972907524,0.000322620315304558,0.0111545974016551,424,0.000322620315304558,"GO:0032501 multicellular organismal process","bp"
"GO:0002443 leukocyte mediated immunity",0.000336551140910449,3.66253673262907,0.000336551140910448,0.0113524445824183,23,0.000336551140910449,"GO:0002443 leukocyte mediated immunity","bp"
"GO:0000075 cell cycle checkpoint",0.000347112746009064,4.08254695090337,0.000347112746009064,0.011429926850727,14,0.000347112746009064,"GO:0000075 cell cycle checkpoint","bp"
"GO:0050896 response to stimulus",0.000357658951339712,3.39524177568073,0.000357658951339711,0.0114357848218973,458,0.000357658951339712,"GO:0050896 response to stimulus","bp"
"GO:0022607 cellular component assembly",0.00037370776129451,3.41180078527855,0.00037370776129451,0.0114357848218973,132,0.00037370776129451,"GO:0022607 cellular component assembly","bp"
"GO:0031347 regulation of defense response",0.000375926794330711,3.4981807165924,0.000375926794330712,0.0114357848218973,43,0.000375926794330711,"GO:0031347 regulation of defense response","bp"
"GO:0007051 spindle organization",0.000395842744981212,4.54213459246629,0.000395842744981212,0.0114357848218973,12,0.000395842744981212,"GO:0007051 spindle organization","bp"
"GO:0031349 positive regulation of defense response",0.00040330596450022,3.59534364732719,0.000403305964500219,0.0114357848218973,24,0.00040330596450022,"GO:0031349 positive regulation of defense response","bp"
"GO:0045087 innate immune response",0.000404623488257563,3.48938633604991,0.000404623488257564,0.0114357848218973,39,0.000404623488257563,"GO:0045087 innate immune response","bp"
"GO:0048583 regulation of response to stimulus",0.000413133119399828,3.36490417528273,0.000413133119399828,0.0114357848218973,245,0.000413133119399828,"GO:0048583 regulation of response to stimulus","bp"
"GO:0051239 regulation of multicellular organismal process",0.000413441244464835,3.36820488451348,0.000413441244464835,0.0114357848218973,212,0.000413441244464835,"GO:0051239 regulation of multicellular organismal process","bp"
"GO:0030154 cell differentiation",0.000478837456074918,3.32109111916012,0.000478837456074917,0.0126982549769674,271,0.000478837456074918,"GO:0030154 cell differentiation","bp"
"GO:1901990 regulation of mitotic cell cycle phase transition",0.000482866846469602,3.58198181642448,0.000482866846469601,0.0126982549769674,21,0.000482866846469602,"GO:1901990 regulation of mitotic cell cycle phase transition","bp"
"GO:0048518 positive regulation of biological process",0.000486977719699185,3.31236896671991,0.000486977719699186,0.0126982549769674,343,0.000486977719699185,"GO:0048518 positive regulation of biological process","bp"
"GO:0002521 leukocyte differentiation",0.000509455771923144,3.41739542868808,0.000509455771923144,0.0126982549769674,39,0.000509455771923144,"GO:0002521 leukocyte differentiation","bp"
"GO:0007154 cell communication",0.000511828305895213,3.29849264761158,0.000511828305895213,0.0126982549769674,337,0.000511828305895213,"GO:0007154 cell communication","bp"
"GO:0007010 cytoskeleton organization",0.000514173737317552,3.34575363298922,0.000514173737317552,0.0126982549769674,79,0.000514173737317552,"GO:0007010 cytoskeleton organization","bp"
"GO:0048731 system development",0.000565859528102654,3.2715352387538,0.000565859528102656,0.013729539076596,299,0.000565859528102654,"GO:0048731 system development","bp"
"GO:0007093 mitotic cell cycle checkpoint",0.000651932440536105,3.84772978966899,0.000651932440536105,0.015526451342807,13,0.000651932440536105,"GO:0007093 mitotic cell cycle checkpoint","bp"
"GO:0033554 cellular response to stress",0.000682345102339837,3.26764752320235,0.000682345102339837,0.015526451342807,71,0.000682345102339837,"GO:0033554 cellular response to stress","bp"
"GO:0006259 DNA metabolic process",0.000684404858210836,3.36388061499607,0.000684404858210835,0.015526451342807,30,0.000684404858210836,"GO:0006259 DNA metabolic process","bp"
"GO:0010948 negative regulation of cell cycle process",0.000694894658302406,3.43988354249395,0.000694894658302406,0.015526451342807,22,0.000694894658302406,"GO:0010948 negative regulation of cell cycle process","bp"
"GO:0098813 nuclear chromosome segregation",0.000696052048629091,3.42812955932377,0.000696052048629091,0.015526451342807,23,0.000696052048629091,"GO:0098813 nuclear chromosome segregation","bp"
"GO:0042113 B cell activation",0.00072155114471474,4.30245815847902,0.000721551144714741,0.0158397656054046,11,0.00072155114471474,"GO:0042113 B cell activation","bp"
"GO:1901991 negative regulation of mitotic cell cycle phase transition",0.000762295638503683,3.58916797415903,0.000762295638503684,0.0164727323132905,15,0.000762295638503683,"GO:1901991 negative regulation of mitotic cell cycle phase transition","bp"
"GO:0007165 signal transduction",0.000788499030792154,3.17504580761573,0.000788499030792153,0.016776833224393,295,0.000788499030792154,"GO:0007165 signal transduction","bp"
"GO:1901987 regulation of cell cycle phase transition",0.000800976458706975,3.38531578930451,0.000800976458706974,0.0167840976119961,22,0.000800976458706975,"GO:1901987 regulation of cell cycle phase transition","bp"
"GO:0048584 positive regulation of response to stimulus",0.00083696132221469,3.17287240206505,0.00083696132221469,0.0172763807257152,144,0.00083696132221469,"GO:0048584 positive regulation of response to stimulus","bp"
"GO:0051128 regulation of cellular component organization",0.000855099654094681,3.16683221811764,0.00085509965409468,0.0173912179648962,142,0.00085509965409468,"GO:0051128 regulation of cellular component organization","bp"
"GO:0023052 signaling",0.000904732756657267,3.13240081445645,0.000904732756657267,0.0181339913399565,338,0.000904732756657267,"GO:0023052 signaling","bp"
"GO:0006807 nitrogen compound metabolic process",0.000922229323982522,3.12497467567861,0.000922229323982522,0.018220616500969,393,0.000922229323982522,"GO:0006807 nitrogen compound metabolic process","bp"
"GO:0008219 cell death",0.0010053517931996,3.12027180515418,0.0010053517931996,0.0195831201407753,133,0.0010053517931996,"GO:0008219 cell death","bp"
"GO:0048519 negative regulation of biological process",0.00107997197444853,3.08093304758582,0.00107997197444853,0.0207444616758656,297,0.00107997197444853,"GO:0048519 negative regulation of biological process","bp"
"GO:0030183 B cell differentiation",0.00115445006230282,4.15537831964773,0.00115445006230282,0.0217811750158596,10,0.00115445006230281,"GO:0030183 B cell differentiation","bp"
"GO:0051983 regulation of chromosome segregation",0.0011827253976922,3.55750338790325,0.0011827253976922,0.0217811750158596,12,0.0011827253976922,"GO:0051983 regulation of chromosome segregation","bp"
"GO:2000026 regulation of multicellular organismal development",0.00118289723788769,3.06740009376032,0.00118289723788769,0.0217811750158596,145,0.00118289723788769,"GO:2000026 regulation of multicellular organismal development","bp"
"GO:0045786 negative regulation of cell cycle",0.00119694092639575,3.16271794852989,0.00119694092639576,0.0217811750158596,33,0.00119694092639575,"GO:0045786 negative regulation of cell cycle","bp"
"GO:0044843 cell cycle G1/S phase transition",0.00126753209768951,3.52533379094697,0.00126753209768952,0.0225857690546963,12,0.00126753209768952,"GO:0044843 cell cycle G1/S phase transition","bp"
"GO:0030155 regulation of cell adhesion",0.00128439294399644,3.09009643542547,0.00128439294399644,0.0225857690546963,53,0.00128439294399644,"GO:0030155 regulation of cell adhesion","bp"
"GO:1902850 microtubule cytoskeleton organization involved in mitosis",0.00129014877463558,4.08541794422695,0.00129014877463558,0.0225857690546963,10,0.00129014877463558,"GO:1902850 microtubule cytoskeleton organization involved in mitosis","bp"
"GO:0048522 positive regulation of cellular process",0.0013462359560827,3.01325518888524,0.0013462359560827,0.0232730540907797,305,0.0013462359560827,"GO:0048522 positive regulation of cellular process","bp"
"GO:0006952 defense response",0.00137764647269257,3.0381778836849,0.00137764647269257,0.0235220379226398,88,0.00137764647269257,"GO:0006952 defense response","bp"
"GO:1901988 negative regulation of cell cycle phase transition",0.00143697587274119,3.28082971078754,0.00143697587274118,0.0241723414940854,16,0.00143697587274119,"GO:1901988 negative regulation of cell cycle phase transition","bp"
"GO:0002520 immune system development",0.00145069005351344,3.041495634442,0.00145069005351344,0.0241723414940854,60,0.00145069005351344,"GO:0002520 immune system development","bp"
"GO:0042110 T cell activation",0.00147016295695237,3.07883888823431,0.00147016295695238,0.0242051829698231,37,0.00147016295695237,"GO:0042110 T cell activation","bp"
"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0.00150357549258842,3.15258671886517,0.00150357549258842,0.0244640577205858,22,0.00150357549258842,"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","bp"
"GO:0080134 regulation of response to stress",0.00152998668968485,3.01508338314411,0.00152998668968486,0.0246043208352809,70,0.00152998668968485,"GO:0080134 regulation of response to stress","bp"
"GO:0044260 cellular macromolecule metabolic process",0.00159998663659315,2.95960274023246,0.00159998663659316,0.0252011997644118,308,0.00159998663659315,"GO:0044260 cellular macromolecule metabolic process","bp"
"GO:0019538 protein metabolic process",0.00162277836240066,2.95852926631298,0.00162277836240066,0.0252011997644118,244,0.00162277836240066,"GO:0019538 protein metabolic process","bp"
"GO:0043900 regulation of multi-organism process",0.00164454535178504,3.07695739982628,0.00164454535178504,0.0252011997644118,28,0.00164454535178504,"GO:0043900 regulation of multi-organism process","bp"
"GO:0000226 microtubule cytoskeleton organization",0.00165671387012147,3.05154693012638,0.00165671387012147,0.0252011997644118,33,0.00165671387012147,"GO:0000226 microtubule cytoskeleton organization","bp"
"GO:0048523 negative regulation of cellular process",0.00165821343352239,2.9498997141505,0.00165821343352239,0.0252011997644118,273,0.00165821343352239,"GO:0048523 negative regulation of cellular process","bp"
"GO:0045930 negative regulation of mitotic cell cycle",0.00168849609382114,3.14062868980823,0.00168849609382114,0.0253825010625504,20,0.00168849609382114,"GO:0045930 negative regulation of mitotic cell cycle","bp"
"GO:0001816 cytokine production",0.00172098155813896,3.00141103794353,0.00172098155813896,0.0255926612355504,48,0.00172098155813896,"GO:0001816 cytokine production","bp"
"GO:0012501 programmed cell death",0.00184665194812091,2.932621873281,0.00184665194812091,0.0271693579175662,120,0.00184665194812091,"GO:0012501 programmed cell death","bp"
"GO:0002449 lymphocyte mediated immunity",0.00194644651739622,3.0757527039724,0.00194644651739622,0.0283247767697705,20,0.00194644651739622,"GO:0002449 lymphocyte mediated immunity","bp"
"GO:0043412 macromolecule modification",0.00197300281142861,2.90307878917911,0.00197300281142861,0.0283247767697705,167,0.00197300281142861,"GO:0043412 macromolecule modification","bp"
"GO:0043170 macromolecule metabolic process",0.00200686982318444,2.88647431904099,0.00200686982318445,0.0283247767697705,362,0.00200686982318444,"GO:0043170 macromolecule metabolic process","bp"
"GO:0006796 phosphate-containing compound metabolic process",0.00201966096595853,2.89527326551262,0.00201966096595853,0.0283247767697705,169,0.00201966096595853,"GO:0006796 phosphate-containing compound metabolic process","bp"
"GO:0009653 anatomical structure morphogenesis",0.00202758705727207,2.8932439992604,0.00202758705727208,0.0283247767697705,174,0.00202758705727207,"GO:0009653 anatomical structure morphogenesis","bp"
"GO:0034097 response to cytokine",0.0021061697255149,2.93498039572055,0.0021061697255149,0.0288979799003836,47,0.0021061697255149,"GO:0034097 response to cytokine","bp"
"GO:0000082 G1/S transition of mitotic cell cycle",0.00211040923350597,3.32556456647366,0.00211040923350596,0.0288979799003836,11,0.00211040923350597,"GO:0000082 G1/S transition of mitotic cell cycle","bp"
"GO:0010941 regulation of cell death",0.00217633735499157,2.88279799122228,0.00217633735499157,0.0293340142607085,108,0.00217633735499157,"GO:0010941 regulation of cell death","bp"
"GO:0006793 phosphorus metabolic process",0.00218467351327041,2.86977686006455,0.00218467351327041,0.0293340142607085,170,0.0021846735132704,"GO:0006793 phosphorus metabolic process","bp"
"GO:0050793 regulation of developmental process",0.00225615989324991,2.85797882033506,0.00225615989324992,0.0300025878111984,182,0.00225615989324991,"GO:0050793 regulation of developmental process","bp"
"GO:0072359 circulatory system development",0.00233864680317074,2.87682787923584,0.00233864680317075,0.0303342244147618,69,0.00233864680317074,"GO:0072359 circulatory system development","bp"
"GO:1901564 organonitrogen compound metabolic process",0.00238886542579139,2.8325244472985,0.00238886542579139,0.0303342244147618,298,0.00238886542579139,"GO:1901564 organonitrogen compound metabolic process","bp"
"GO:0016310 phosphorylation",0.00242083976807697,2.84234986519203,0.00242083976807698,0.0303342244147618,131,0.00242083976807697,"GO:0016310 phosphorylation","bp"
"GO:0010639 negative regulation of organelle organization",0.00242143027121533,2.9423329150537,0.00242143027121534,0.0303342244147618,28,0.00242143027121533,"GO:0010639 negative regulation of organelle organization","bp"
"GO:0090068 positive regulation of cell cycle process",0.00242168630703089,3.03845099136665,0.0024216863070309,0.0303342244147618,17,0.00242168630703089,"GO:0090068 positive regulation of cell cycle process","bp"
"GO:0071216 cellular response to biotic stimulus",0.0024565677038708,3.16594788644077,0.0024565677038708,0.0303342244147618,11,0.0024565677038708,"GO:0071216 cellular response to biotic stimulus","bp"
"GO:0071219 cellular response to molecule of bacterial origin",0.0024565677038708,3.16594788644077,0.0024565677038708,0.0303342244147618,11,0.0024565677038708,"GO:0071219 cellular response to molecule of bacterial origin","bp"
"GO:0071222 cellular response to lipopolysaccharide",0.0024565677038708,3.16594788644077,0.0024565677038708,0.0303342244147618,11,0.0024565677038708,"GO:0071222 cellular response to lipopolysaccharide","bp"
"GO:0043933 protein-containing complex subunit organization",0.00258507656446601,2.82695413954899,0.00258507656446602,0.0315514736445654,103,0.00258507656446601,"GO:0043933 protein-containing complex subunit organization","bp"
"GO:0007346 regulation of mitotic cell cycle",0.00260077223100539,2.88846888052334,0.00260077223100539,0.0315514736445654,35,0.00260077223100539,"GO:0007346 regulation of mitotic cell cycle","bp"
"GO:0050900 leukocyte migration",0.00265211937260649,2.92120434941602,0.0026521193726065,0.0318946181940417,25,0.00265211937260649,"GO:0050900 leukocyte migration","bp"
"GO:0002253 activation of immune response",0.00267817430851242,2.90023088782793,0.00267817430851242,0.0319303023161438,29,0.00267817430851242,"GO:0002253 activation of immune response","bp"
"GO:0007017 microtubule-based process",0.00282846589654552,2.85020388038229,0.00282846589654553,0.0332279620881764,38,0.00282846589654552,"GO:0007017 microtubule-based process","bp"
"GO:0051276 chromosome organization",0.00283506834881042,2.85038776022699,0.00283506834881042,0.0332279620881764,38,0.00283506834881042,"GO:0051276 chromosome organization","bp"
"GO:0030097 hemopoiesis",0.00287647721207266,2.81773176619905,0.00287647721207266,0.033429983061315,55,0.00287647721207266,"GO:0030097 hemopoiesis","bp"
"GO:0006915 apoptotic process",0.0029205873478085,2.78243917717484,0.00292058734780851,0.033659769183493,118,0.0029205873478085,"GO:0006915 apoptotic process","bp"
"GO:0030098 lymphocyte differentiation",0.00305800424604231,2.86303055099098,0.00305800424604231,0.0345513337006849,26,0.00305800424604231,"GO:0030098 lymphocyte differentiation","bp"
"GO:0048534 hematopoietic or lymphoid organ development",0.00305804150310841,2.79359405899745,0.00305804150310841,0.0345513337006849,58,0.00305804150310841,"GO:0048534 hematopoietic or lymphoid organ development","bp"
"GO:0006464 cellular protein modification process",0.00309787807583869,2.75531386542527,0.0030978780758387,0.0345513337006849,165,0.00309787807583869,"GO:0006464 cellular protein modification process","bp"
"GO:0036211 protein modification process",0.00309787807583869,2.75531386542527,0.0030978780758387,0.0345513337006849,165,0.00309787807583869,"GO:0036211 protein modification process","bp"
"GO:0002237 response to molecule of bacterial origin",0.00328075711773051,2.93699056795706,0.00328075711773051,0.0362982967505703,15,0.00328075711773051,"GO:0002237 response to molecule of bacterial origin","bp"
"GO:0045088 regulation of innate immune response",0.00340058813924212,2.88381973344938,0.00340058813924213,0.0368477485414744,18,0.00340058813924212,"GO:0045088 regulation of innate immune response","bp"
"GO:0002685 regulation of leukocyte migration",0.00341400645573955,2.91274168371283,0.00341400645573956,0.0368477485414744,16,0.00341400645573955,"GO:0002685 regulation of leukocyte migration","bp"
"GO:0002761 regulation of myeloid leukocyte differentiation",0.00344828776713501,3.02461101660185,0.00344828776713501,0.0368477485414744,11,0.003448287767135,"GO:0002761 regulation of myeloid leukocyte differentiation","bp"
"GO:1902105 regulation of leukocyte differentiation",0.00345916684842281,2.82269133014946,0.00345916684842281,0.0368477485414744,25,0.00345916684842281,"GO:1902105 regulation of leukocyte differentiation","bp"
