ID,Cage,Ear,Cohort,Soil,Virus,Day.0,Day.7,Day.14,Day.21,Day.28,Day.32,Day.35,Day.37,Day.39,BAL.Vol,tot.cell,live.cell,live.cells/ml,dead.cell/ml,Macrophages,Neutrophils,Eosinophils,Lymphocytes,Total_Cells,PR8_qPCR
613,1,O,A,Control,HI,21.2,23.3,25.5,26.9,28.2,28.5,28.2,28.5,28.3,1.1,1.43,1.22,0.55,0.1,53574.73035,0,939.9075501,939.9075501,55455,39.87161669
614,1,R,A,Control,HI,17.4,19.5,22.4,24,24.4,25,24.4,25.7,25.5,1,5.01,4.59,2.29,0.21,223125,6375,0,0,229500,415.4707211
615,1,L,A,Control,HI,19.2,21.1,23.6,25.8,26.6,27.2,27,27.6,27,1.2,3.36,2.73,1.14,0.26,112000,1166.666667,0,583.3333333,113750,134.6797718
616,2,O,A,Control,PR8,21.1,22.9,25.5,26.6,28.2,28.4,28.2,27.7,24.1,1.2,15,12.1,5.04,1.21,319885.0575,93879.31034,3477.011494,86925.28736,504167,164777.6678
617,2,R,A,Control,PR8,20.8,23.5,25.1,27.6,28.3,27.5,25.8,26,22.6,1.2,30.5,22.7,9.46,3.25,445557.8512,218870.5234,0,281404.9587,945833,64320.87132
618,2,L,A,Control,PR8,19.7,22.7,24.6,26.5,27.4,27.8,27.5,28.5,27.3,0.8,7.74,6.35,3.97,0.87,211449.7951,105724.8975,0,79700.30738,396875,9089.377133
619,3,O,A,Pine,HI,22.9,24.8,26.5,27.6,28.7,29.7,29,29.6,29.3,1.2,2.17,1.89,0.79,0.12,78214.28571,0,0,535.7142857,78750,8.196160974
620,3,R,A,Pine,HI,20.8,22.8,25,27,27.8,28.7,28.3,29,28.3,1.3,2.41,2.2,0.85,0.08,83715.22095,900.1636661,0,0,84615,2.600450291
621,3,L,A,Pine,HI,18.8,21.1,22.7,24.2,24.7,25.7,25.1,26.1,25.4,1.4,2.31,2.03,0.73,0.1,71260.68376,619.6581197,0,619.6581197,72500,8.042220625
622,4,O,A,Pine,PR8,20.9,23.3,25.8,27.6,29,29.8,28.5,28.5,24.5,1,22.4,18.2,9.1,2.1,533448.2759,203965.5172,0,172586.2069,910000,27148.80445
