"","p.geomean","stat.mean","p.val","q.val","set.size","exp1","path","process"
"GO:0007154 cell communication",7.60108974263648e-05,3.88323734531314,7.60108974263648e-05,0.0187183609766377,79,7.60108974263648e-05,"GO:0007154 cell communication","bp"
"GO:0023052 signaling",0.000109337568264659,3.78426559535141,0.000109337568264659,0.0187183609766377,80,0.000109337568264659,"GO:0023052 signaling","bp"
"GO:0009653 anatomical structure morphogenesis",0.000136963616902228,3.77326584800768,0.000136963616902227,0.0187183609766377,51,0.000136963616902228,"GO:0009653 anatomical structure morphogenesis","bp"
"GO:0002376 immune system process",0.000340506868444677,3.56567043753421,0.000340506868444677,0.0292351494311865,34,0.000340506868444677,"GO:0002376 immune system process","bp"
"GO:0007165 signal transduction",0.000356526212575445,3.4665358862452,0.000356526212575445,0.0292351494311865,67,0.000356526212575445,"GO:0007165 signal transduction","bp"
"GO:0048583 regulation of response to stimulus",0.00049522256317413,3.39560720832052,0.000495222563174129,0.029978145634877,50,0.00049522256317413,"GO:0048583 regulation of response to stimulus","bp"
"GO:0071705 nitrogen compound transport",0.000522829378122628,3.56273231662721,0.000522829378122627,0.029978145634877,21,0.000522829378122628,"GO:0071705 nitrogen compound transport","bp"
"GO:0050896 response to stimulus",0.000633185237589399,3.26481672720437,0.000633185237589399,0.029978145634877,114,0.000633185237589399,"GO:0050896 response to stimulus","bp"
"GO:0048731 system development",0.000770760116364165,3.22035675975051,0.000770760116364166,0.029978145634877,84,0.000770760116364165,"GO:0048731 system development","bp"
"GO:0072359 circulatory system development",0.000858616151584982,3.30304033681901,0.000858616151584984,0.029978145634877,28,0.000858616151584983,"GO:0072359 circulatory system development","bp"
"GO:0051716 cellular response to stimulus",0.000965393149431218,3.14948179696653,0.000965393149431219,0.029978145634877,87,0.000965393149431217,"GO:0051716 cellular response to stimulus","bp"
"GO:0048518 positive regulation of biological process",0.000997534933231185,3.13933606276501,0.000997534933231183,0.029978145634877,87,0.000997534933231185,"GO:0048518 positive regulation of biological process","bp"
"GO:0050789 regulation of biological process",0.00104943299603005,3.10322184372871,0.00104943299603005,0.029978145634877,150,0.00104943299603005,"GO:0050789 regulation of biological process","bp"
"GO:0001568 blood vessel development",0.00109676142566623,3.28088062799609,0.00109676142566623,0.029978145634877,21,0.00109676142566623,"GO:0001568 blood vessel development","bp"
"GO:0001944 vasculature development",0.00109676142566623,3.28088062799609,0.00109676142566623,0.029978145634877,21,0.00109676142566623,"GO:0001944 vasculature development","bp"
"GO:0048646 anatomical structure formation involved in morphogenesis",0.00136773121016336,3.13635993216582,0.00136773121016336,0.0309743735622694,29,0.00136773121016336,"GO:0048646 anatomical structure formation involved in morphogenesis","bp"
"GO:0048514 blood vessel morphogenesis",0.00148681613531223,3.20860692999429,0.00148681613531224,0.0309743735622694,18,0.00148681613531223,"GO:0048514 blood vessel morphogenesis","bp"
"GO:0007275 multicellular organism development",0.00151874445383837,3.00360876143021,0.00151874445383837,0.0309743735622694,94,0.00151874445383837,"GO:0007275 multicellular organism development","bp"
"GO:1901700 response to oxygen-containing compound",0.00156055088311791,3.14647169936378,0.00156055088311791,0.0309743735622694,21,0.00156055088311791,"GO:1901700 response to oxygen-containing compound","bp"
"GO:0050794 regulation of cellular process",0.00157788855056116,2.97884848217059,0.00157788855056116,0.0309743735622694,137,0.00157788855056116,"GO:0050794 regulation of cellular process","bp"
"GO:0001525 angiogenesis",0.00165029821722274,3.23180515300817,0.00165029821722274,0.0309743735622694,15,0.00165029821722274,"GO:0001525 angiogenesis","bp"
"GO:0002684 positive regulation of immune system process",0.00186564710038154,3.19012005493046,0.00186564710038154,0.0309743735622694,15,0.00186564710038154,"GO:0002684 positive regulation of immune system process","bp"
"GO:0010646 regulation of cell communication",0.00194730063620654,2.97122225658064,0.00194730063620655,0.0309743735622694,42,0.00194730063620654,"GO:0010646 regulation of cell communication","bp"
