"","p.geomean","stat.mean","p.val","q.val","set.size","exp1","path","process"
"GO:0006955 immune response",5.50952735868429e-25,11.1855137598814,5.50952735868426e-25,9.28355359938298e-22,184,5.5095273586843e-25,"GO:0006955 immune response","bp"
"GO:0002376 immune system process",5.42107997113001e-22,9.97620191837391,5.42107997113001e-22,4.56725987567704e-19,289,5.42107997113002e-22,"GO:0002376 immune system process","bp"
"GO:0001775 cell activation",2.39238672306246e-17,9.02355362009796,2.39238672306245e-17,1.34372387612008e-14,141,2.39238672306246e-17,"GO:0001775 cell activation","bp"
"GO:0045321 leukocyte activation",4.17862296677502e-17,8.98748031065234,4.17862296677509e-17,1.760244924754e-14,133,4.17862296677501e-17,"GO:0045321 leukocyte activation","bp"
"GO:0002682 regulation of immune system process",1.93708692611046e-16,8.58904578455453,1.93708692611049e-16,6.52798294099234e-14,170,1.93708692611046e-16,"GO:0002682 regulation of immune system process","bp"
"GO:0050776 regulation of immune response",1.22354360876942e-15,8.74809204145228,1.22354360876942e-15,3.05458822513959e-13,102,1.22354360876941e-15,"GO:0050776 regulation of immune response","bp"
"GO:0002684 positive regulation of immune system process",1.26896840213512e-15,8.47166789282415,1.26896840213514e-15,3.05458822513959e-13,131,1.26896840213513e-15,"GO:0002684 positive regulation of immune system process","bp"
"GO:0046649 lymphocyte activation",2.39498841135357e-15,8.58716520420803,2.39498841135358e-15,5.04444434141348e-13,105,2.39498841135356e-15,"GO:0046649 lymphocyte activation","bp"
"GO:0002250 adaptive immune response",2.93232264210167e-14,8.59334242342155,2.93232264210164e-14,5.48995961326806e-12,78,2.93232264210167e-14,"GO:0002250 adaptive immune response","bp"
"GO:0002252 immune effector process",3.87711426039638e-14,8.15127062080702,3.87711426039639e-14,6.53293752876791e-12,98,3.87711426039639e-14,"GO:0002252 immune effector process","bp"
"GO:0050778 positive regulation of immune response",1.07150500509378e-13,8.17593795290648,1.07150500509379e-13,1.64135084871184e-11,84,1.07150500509378e-13,"GO:0050778 positive regulation of immune response","bp"
"GO:0042110 T cell activation",1.79052696808761e-12,7.63242711412186,1.79052696808763e-12,2.51419828435637e-10,82,1.79052696808761e-12,"GO:0042110 T cell activation","bp"
"GO:0002521 leukocyte differentiation",1.0870211767561e-11,7.29234272529717,1.0870211767561e-11,1.4089466791031e-09,80,1.0870211767561e-11,"GO:0002521 leukocyte differentiation","bp"
"GO:0002443 leukocyte mediated immunity",2.65986216300449e-11,7.4849955249358,2.65986216300452e-11,3.20133410333044e-09,60,2.6598621630045e-11,"GO:0002443 leukocyte mediated immunity","bp"
"GO:0001816 cytokine production",5.06107955461455e-11,6.89590426144472,5.0610795546145e-11,5.42524610076894e-09,94,5.06107955461455e-11,"GO:0001816 cytokine production","bp"
"GO:0006952 defense response",5.15156899776276e-11,6.66996149232686,5.15156899776279e-11,5.42524610076894e-09,172,5.15156899776275e-11,"GO:0006952 defense response","bp"
"GO:0045087 innate immune response",2.5064674006316e-10,6.68836512874668,2.50646740063163e-10,2.41050734285071e-08,78,2.5064674006316e-10,"GO:0045087 innate immune response","bp"
"GO:0030098 lymphocyte differentiation",2.57502268079007e-10,6.94300364956303,2.57502268079008e-10,2.41050734285071e-08,59,2.57502268079007e-10,"GO:0030098 lymphocyte differentiation","bp"
"GO:0001817 regulation of cytokine production",7.21537758519168e-10,6.43838290022195,7.21537758519172e-10,6.39890064792002e-08,85,7.21537758519169e-10,"GO:0001817 regulation of cytokine production","bp"
"GO:0002449 lymphocyte mediated immunity",3.26741386251037e-09,6.53254286005742,3.26741386251038e-09,2.75279617916499e-07,50,3.26741386251037e-09,"GO:0002449 lymphocyte mediated immunity","bp"
"GO:0006950 response to stress",3.74094822198131e-09,5.86729166067179,3.74094822198128e-09,3.00166559716117e-07,289,3.74094822198131e-09,"GO:0006950 response to stress","bp"
"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",6.39050529846514e-09,6.38581410856637,6.39050529846514e-09,4.89454610359716e-07,49,6.39050529846513e-09,"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","bp"
"GO:0002757 immune response-activating signal transduction",1.03488079966271e-08,6.37416537193437,1.03488079966271e-08,7.58162672796377e-07,47,1.03488079966271e-08,"GO:0002757 immune response-activating signal transduction","bp"
"GO:0007159 leukocyte cell-cell adhesion",1.39962652289429e-08,5.96008384945462,1.39962652289428e-08,9.82654454615359e-07,64,1.39962652289429e-08,"GO:0007159 leukocyte cell-cell adhesion","bp"
"GO:0048584 positive regulation of response to stimulus",1.60427646761585e-08,5.63076021473173,1.60427646761584e-08,1.08128233917308e-06,221,1.60427646761585e-08,"GO:0048584 positive regulation of response to stimulus","bp"
"GO:0002263 cell activation involved in immune response",1.80322838108026e-08,6.67210624822174,1.80322838108025e-08,1.09692269947355e-06,36,1.80322838108026e-08,"GO:0002263 cell activation involved in immune response","bp"
"GO:0002366 leukocyte activation involved in immune response",1.80322838108026e-08,6.67210624822174,1.80322838108025e-08,1.09692269947355e-06,36,1.80322838108026e-08,"GO:0002366 leukocyte activation involved in immune response","bp"
"GO:0002253 activation of immune response",1.82277955995605e-08,6.01828935264575,1.82277955995605e-08,1.09692269947355e-06,55,1.82277955995605e-08,"GO:0002253 activation of immune response","bp"
