"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name","Soil"
"1","ENSMUSG00000025934",3079.33094331734,-1.15493074134196,0.39628345480232,-2.91440565420042,0.00356366506447867,0.0387034164650168,"Gsta3","14859","glutathione S-transferase, alpha 3","Pine"
"2","ENSMUSG00000025936",404.598135439861,-1.19217935271256,0.401352782566782,-2.97040260961488,0.00297409689900913,0.0346212290758683,"Gm4956","241041","predicted gene 4956","Pine"
"3","ENSMUSG00000101939",152.584840824413,-1.38476496438871,0.307097916352539,-4.50919687386951,6.50735005028646e-06,0.000532668778884791,NA,NA,NA,"Pine"
"4","ENSMUSG00000102319",13.4899239452719,-2.07481025901824,0.63576178513472,-3.26350263185225,0.00110044162145965,0.0177526535666315,NA,NA,NA,"Pine"
"5","ENSMUSG00000025983",78.5569698802627,-1.05668663768635,0.428268019686191,-2.46734892430359,0.0136117646577969,0.0890369778343379,"Ccdc150","78016","coiled-coil domain containing 150","Pine"
"6","ENSMUSG00000100215",29.3243543435909,-1.57541160993433,0.498468878119352,-3.16050144570332,0.00157497823485135,0.0224939697824504,"Gm8292","666793","predicted gene 8292","Pine"
"7","ENSMUSG00000103696",11.2268769605373,-1.96723631555568,0.611136765678583,-3.21897883752966,0.00128647979275232,0.0197986133684135,NA,NA,NA,"Pine"
"8","ENSMUSG00000027520",27.7712290174084,-1.10399791745857,0.3693474566537,-2.98904973506741,0.00279846575165499,0.0334096373767805,"Zdbf2","73884","zinc finger, DBF-type containing 2","Pine"
"9","ENSMUSG00000026193",13763.322950924,1.0716657139834,0.281358590586725,3.80889636868248,0.000139588442296601,0.00424877453163901,"Fn1","14268","fibronectin 1","Pine"
"10","ENSMUSG00000100301",18.8240268687864,-1.0244372541787,0.416019236164061,-2.46247568652019,0.0137981527786707,0.0895757471233789,"6030407O03Rik","109198","RIKEN cDNA 6030407O03 gene","Pine"
"11","ENSMUSG00000104488",11.8459503379665,-1.52539590833256,0.525535996244636,-2.9025526685759,0.00370134915508105,0.0395907770181416,NA,NA,NA,"Pine"
"12","ENSMUSG00000053161",75.5479829458032,-1.18146339341673,0.438094438565449,-2.69682353714752,0.0070004356272021,0.0586609963623509,"Daw1","71227","dynein assembly factor with WDR repeat domains 1","Pine"
"13","ENSMUSG00000104044",15.7463910235091,-1.62686358780578,0.498954285981541,-3.26054637371323,0.00111197782050893,0.0178735271312894,NA,NA,NA,"Pine"
"14","ENSMUSG00000103291",15.2572396810211,-1.70312748673913,0.629683979329969,-2.70473371190321,0.00683591637119184,0.0578038944707555,NA,NA,NA,"Pine"
"15","ENSMUSG00000042474",176.078160127255,1.76604592065142,0.32468400815626,5.4392759615111,5.34975357103246e-08,1.84525855248808e-05,"Fcmr","69169","Fc fragment of IgM receptor","Pine"
"16","ENSMUSG00000026452",22.0244878551629,1.1790630887254,0.406886385679062,2.89776982033359,0.00375826305532342,0.0398619370612918,"Syt2","20980","synaptotagmin II","Pine"
"17","ENSMUSG00000052759",17.2163720658721,1.63475988873593,0.584812518904934,2.79535720575378,0.00518423983837289,0.0489912050145756,"Gpr25","383563","G protein-coupled receptor 25","Pine"
"18","ENSMUSG00000026398",32.8250889713261,2.05486411755085,0.457024241792694,4.49618188630558,6.91845601061533e-06,0.000554713902511569,"Nr5a2","26424","nuclear receptor subfamily 5, group A, member 2","Pine"
"19","ENSMUSG00000104118",13.7616357728695,-1.67717038892896,0.533545278368504,-3.14344528370204,0.00166971628594243,0.0233553871357922,NA,NA,NA,"Pine"
"20","ENSMUSG00000105936",26.8226348580127,-1.21659218704265,0.352241595701146,-3.45385724426156,0.000552629823772158,0.0108687963449561,NA,NA,NA,"Pine"
"21","ENSMUSG00000103808",64.9112672356569,-1.35538547128444,0.506097916937603,-2.67810916805561,0.00740390825870615,0.0606900797043039,NA,NA,NA,"Pine"
"22","ENSMUSG00000066755",14.297495541757,-1.34585312139197,0.547847934359204,-2.45661804487072,0.0140251715771273,0.0904372934555753,"Tnfsf18","240873","tumor necrosis factor (ligand) superfamily, member 18","Pine"
"23","ENSMUSG00000098259",16.7693464086331,-1.10293478810659,0.380737442939668,-2.89683825050366,0.00376944046479767,0.0399098675756951,NA,NA,NA,"Pine"
"24","ENSMUSG00000026582",84.5210375311993,1.00648500163358,0.271307870019894,3.70975232513445,0.000207462102106683,0.00549122369363513,"Sele","20339","selectin, endothelial cell","Pine"
"25","ENSMUSG00000026580",353.167775299407,1.31561931979316,0.51158534451214,2.57165169781742,0.0101214662230565,0.0733132504259981,"Selp","20344","selectin, platelet","Pine"
"26","ENSMUSG00000015843",36.6628802939299,1.06312327450367,0.350488236999206,3.03326377970876,0.00241924031661973,0.0302293908396844,"Rxrg","20183","retinoid X receptor gamma","Pine"
"27","ENSMUSG00000103646",17.7400788951056,-1.44704892537346,0.479692654123356,-3.01661681273389,0.00255612709793232,0.0312122772879388,NA,NA,NA,"Pine"
"28","ENSMUSG00000103123",17.5379079449874,-1.4824292532058,0.490910371429542,-3.01975541663324,0.00252978886449356,0.0310309760271977,NA,NA,NA,"Pine"
"29","ENSMUSG00000104348",13.683563262745,1.53721035758801,0.584198973476317,2.63131300700638,0.00850556592644404,0.0659302547766142,NA,NA,NA,"Pine"
"30","ENSMUSG00000096929",518.152670248227,-1.16797814178347,0.306963641201371,-3.80493968996563,0.000141838746147865,0.00424946007614688,"A330023F24Rik","320977","RIKEN cDNA A330023F24 gene","Pine"
"31","ENSMUSG00000103867",49.0540373909148,-1.57173579791457,0.365597660700281,-4.29908603601018,1.71503890933122e-05,0.00102444604580693,NA,NA,NA,"Pine"
"32","ENSMUSG00000026616",157.891449334733,1.23128508891702,0.322213142353301,3.82133726738849,0.000132729985214104,0.00413168814889185,"Cr2","12902","complement receptor 2","Pine"
"33","ENSMUSG00000085830",29.846803846263,-1.49301694456322,0.449243199712734,-3.32340466259237,0.000889258133791661,0.0152354390150876,"Grin1os","320354","glutamate receptor, ionotropic, NMDA1 (zeta 1), opposite strand","Pine"
