"","p.geomean","stat.mean","p.val","q.val","set.size","exp1","path","process"
"GO:0002376 immune system process",2.58236075649063e-06,4.82978392846782,2.58236075649061e-06,0.001100085682265,49,2.58236075649063e-06,"GO:0002376 immune system process","bp"
"GO:0006955 immune response",5.64259572750503e-06,4.80304050220987,5.64259572750503e-06,0.00120187288995857,31,5.64259572750503e-06,"GO:0006955 immune response","bp"
"GO:0050896 response to stimulus",1.7617447611642e-05,4.21154913966979,1.76174476116421e-05,0.00250167756085317,129,1.7617447611642e-05,"GO:0050896 response to stimulus","bp"
"GO:0007154 cell communication",3.13835650452677e-05,4.10725927182561,3.13835650452679e-05,0.00290054688044929,84,3.13835650452677e-05,"GO:0007154 cell communication","bp"
"GO:0002440 production of molecular mediator of immune response",3.40439774700622e-05,5.22516847594695,3.40439774700621e-05,0.00290054688044929,13,3.40439774700622e-05,"GO:0002440 production of molecular mediator of immune response","bp"
"GO:0002377 immunoglobulin production",5.36531783202398e-05,5.1349494270097,5.365317832024e-05,0.00380937566073704,12,5.36531783202398e-05,"GO:0002377 immunoglobulin production","bp"
"GO:0023052 signaling",7.63690704101268e-05,3.87500684678521,7.63690704101267e-05,0.00464760342781628,85,7.63690704101269e-05,"GO:0023052 signaling","bp"
"GO:0009653 anatomical structure morphogenesis",0.00016182052131285,3.72033712681879,0.00016182052131285,0.00861694275990925,53,0.00016182052131285,"GO:0009653 anatomical structure morphogenesis","bp"
"GO:0007165 signal transduction",0.00019182175218087,3.63968392252406,0.00019182175218087,0.00907956293656116,71,0.00019182175218087,"GO:0007165 signal transduction","bp"
"GO:0048583 regulation of response to stimulus",0.000222059196853992,3.63313791501135,0.000222059196853992,0.00945972178598005,51,0.000222059196853993,"GO:0048583 regulation of response to stimulus","bp"
"GO:0001775 cell activation",0.000304207317780246,3.72376020167711,0.000304207317780247,0.0117811197613077,21,0.000304207317780246,"GO:0001775 cell activation","bp"
"GO:0048731 system development",0.000345650381393481,3.45446355916582,0.000345650381393481,0.0122705885394686,89,0.000345650381393481,"GO:0048731 system development","bp"
"GO:0007275 multicellular organism development",0.000544466192458657,3.3164983612197,0.000544466192458659,0.0175465788893376,98,0.000544466192458657,"GO:0007275 multicellular organism development","bp"
"GO:0002252 immune effector process",0.000576648132513442,3.78902101354073,0.000576648132513442,0.0175465788893376,14,0.000576648132513442,"GO:0002252 immune effector process","bp"
"GO:0051716 cellular response to stimulus",0.0006712125070933,3.25740075529504,0.000671212507093303,0.0190624352014498,92,0.000671212507093301,"GO:0051716 cellular response to stimulus","bp"
"GO:1901700 response to oxygen-containing compound",0.000731957982765936,3.43095152601951,0.000731957982765936,0.0194883812911431,20,0.000731957982765936,"GO:1901700 response to oxygen-containing compound","bp"
"GO:0071705 nitrogen compound transport",0.000824385891557859,3.41064734597509,0.000824385891557861,0.0206581405766852,20,0.000824385891557859,"GO:0071705 nitrogen compound transport","bp"
"GO:0050789 regulation of biological process",0.00108475206047031,3.09103222028754,0.00108475206047031,0.0250958773264202,162,0.00108475206047031,"GO:0050789 regulation of biological process","bp"
"GO:0042113 B cell activation",0.0012585531697714,4.10018219786384,0.0012585531697714,0.0250958773264202,10,0.0012585531697714,"GO:0042113 B cell activation","bp"
"GO:0045321 leukocyte activation",0.00126934038158647,3.25932234438079,0.00126934038158647,0.0250958773264202,18,0.00126934038158647,"GO:0045321 leukocyte activation","bp"
"GO:0048518 positive regulation of biological process",0.00132561700080355,3.04673892320231,0.00132561700080355,0.0250958773264202,94,0.00132561700080355,"GO:0048518 positive regulation of biological process","bp"
"GO:0001568 blood vessel development",0.00141633873864566,3.16556872217443,0.00141633873864566,0.0250958773264202,23,0.00141633873864566,"GO:0001568 blood vessel development","bp"
"GO:0001944 vasculature development",0.00141633873864566,3.16556872217443,0.00141633873864566,0.0250958773264202,23,0.00141633873864566,"GO:0001944 vasculature development","bp"
"GO:0072359 circulatory system development",0.00152355735987537,3.09889393164573,0.00152355735987537,0.0250958773264202,29,0.00152355735987537,"GO:0072359 circulatory system development","bp"
"GO:0050794 regulation of cellular process",0.00154198997179114,2.98325310330613,0.00154198997179114,0.0250958773264202,153,0.00154198997179114,"GO:0050794 regulation of cellular process","bp"
"GO:0065007 biological regulation",0.00157971316650034,2.97346734864938,0.00157971316650034,0.0250958773264202,168,0.00157971316650034,"GO:0065007 biological regulation","bp"
"GO:0032501 multicellular organismal process",0.00159058377420973,2.97688846265269,0.00159058377420973,0.0250958773264202,134,0.00159058377420973,"GO:0032501 multicellular organismal process","bp"
"GO:0006952 defense response",0.00175681179418444,3.07106183938571,0.00175681179418444,0.0259661779328199,25,0.00175681179418444,"GO:0006952 defense response","bp"
"GO:0006950 response to stress",0.00183286635337901,2.97907474820719,0.00183286635337901,0.0259661779328199,49,0.00183286635337901,"GO:0006950 response to stress","bp"
"GO:0007166 cell surface receptor signaling pathway",0.00190974735330763,2.97546907886639,0.00190974735330763,0.0259661779328199,43,0.00190974735330763,"GO:0007166 cell surface receptor signaling pathway","bp"
"GO:0046649 lymphocyte activation",0.00195560098690299,3.11055781616662,0.001955600986903,0.0259661779328199,17,0.00195560098690299,"GO:0046649 lymphocyte activation","bp"
"GO:0048514 blood vessel morphogenesis",0.00200037375804501,3.06725775593697,0.00200037375804501,0.0259661779328199,20,0.00200037375804501,"GO:0048514 blood vessel morphogenesis","bp"
"GO:0048856 anatomical structure development",0.00205627459004546,2.90143745274679,0.00205627459004546,0.0259661779328199,106,0.00205627459004546,"GO:0048856 anatomical structure development","bp"
"GO:0048522 positive regulation of cellular process",0.00207321073302516,2.90733884873722,0.00207321073302516,0.0259661779328199,84,0.00207321073302516,"GO:0048522 positive regulation of cellular process","bp"
"GO:0032502 developmental process",0.00213337142640539,2.8885056445608,0.00213337142640539,0.0259661779328199,109,0.00213337142640539,"GO:0032502 developmental process","bp"
"GO:0048646 anatomical structure formation involved in morphogenesis",0.00228134746460249,2.9515140985521,0.00228134746460249,0.0269959449977961,30,0.00228134746460249,"GO:0048646 anatomical structure formation involved in morphogenesis","bp"
"GO:0002684 positive regulation of immune system process",0.00241746537623356,3.04097620658663,0.00241746537623355,0.0272496174269967,17,0.00241746537623355,"GO:0002684 positive regulation of immune system process","bp"
"GO:0001525 angiogenesis",0.00243071704747857,3.03151379291783,0.00243071704747858,0.0272496174269967,17,0.00243071704747857,"GO:0001525 angiogenesis","bp"
"GO:0002682 regulation of immune system process",0.00254571240720169,2.92548633686325,0.00254571240720169,0.0273070202974452,27,0.00254571240720169,"GO:0002682 regulation of immune system process","bp"
"GO:0010646 regulation of cell communication",0.00262814045116257,2.86249907962499,0.00262814045116256,0.0273070202974452,45,0.00262814045116256,"GO:0010646 regulation of cell communication","bp"
"GO:0023051 regulation of signaling",0.00262814045116257,2.86249907962499,0.00262814045116256,0.0273070202974452,45,0.00262814045116256,"GO:0023051 regulation of signaling","bp"
