"","p.geomean","stat.mean","p.val","q.val","set.size","exp1","path","process"
"GO:0006955 immune response",4.32066263809065e-27,11.5499882215947,4.3206626380907e-27,7.18094130450675e-24,215,4.32066263809066e-27,"GO:0006955 immune response","bp"
"GO:0002376 immune system process",1.01072249873499e-23,10.3742079081756,1.01072249873498e-23,8.3991039644877e-21,326,1.010722498735e-23,"GO:0002376 immune system process","bp"
"GO:0045321 leukocyte activation",1.15492509663099e-18,9.43666269909813,1.154925096631e-18,6.16645312724908e-16,145,1.15492509663099e-18,"GO:0045321 leukocyte activation","bp"
"GO:0001775 cell activation",1.48410424241856e-18,9.3493049258009,1.48410424241855e-18,6.16645312724908e-16,154,1.48410424241855e-18,"GO:0001775 cell activation","bp"
"GO:0046649 lymphocyte activation",4.14040222570871e-17,9.11811364790861,4.1404022257087e-17,1.37626969982557e-14,118,4.14040222570872e-17,"GO:0046649 lymphocyte activation","bp"
"GO:0002682 regulation of immune system process",2.30991113865672e-16,8.52769154280843,2.30991113865673e-16,6.39845385407913e-14,181,2.30991113865673e-16,"GO:0002682 regulation of immune system process","bp"
"GO:0002250 adaptive immune response",1.16662570175212e-15,9.11285657299567,1.16662570175212e-15,2.53547243508841e-13,84,1.16662570175211e-15,"GO:0002250 adaptive immune response","bp"
"GO:0002684 positive regulation of immune system process",1.22044401207625e-15,8.44276608530666,1.22044401207625e-15,2.53547243508841e-13,136,1.22044401207625e-15,"GO:0002684 positive regulation of immune system process","bp"
"GO:0050776 regulation of immune response",1.753618165882e-15,8.62400246163825,1.75361816588203e-15,3.23834821299548e-13,105,1.753618165882e-15,"GO:0050776 regulation of immune response","bp"
"GO:0002252 immune effector process",6.71490870041337e-15,8.36773568760477,6.71490870041341e-15,1.11601782600871e-12,106,6.71490870041339e-15,"GO:0002252 immune effector process","bp"
"GO:0050778 positive regulation of immune response",2.94159118000448e-13,7.95734554036413,2.94159118000447e-13,4.44447685560676e-11,83,2.94159118000448e-13,"GO:0050778 positive regulation of immune response","bp"
"GO:0002443 leukocyte mediated immunity",7.00176830533251e-13,8.14271976821369,7.0017683053326e-13,9.69744910288565e-11,67,7.0017683053325e-13,"GO:0002443 leukocyte mediated immunity","bp"
"GO:0042110 T cell activation",1.62951899555048e-12,7.58319054288169,1.62951899555049e-12,2.08327736200378e-10,87,1.62951899555048e-12,"GO:0042110 T cell activation","bp"
"GO:0001816 cytokine production",4.06424363889486e-12,7.35416690894579,4.06424363889486e-12,4.82483780560233e-10,96,4.06424363889485e-12,"GO:0001816 cytokine production","bp"
"GO:0098542 defense response to other organism",5.86550285717166e-12,7.15333830604141,5.86550285717168e-12,6.49897716574622e-10,116,5.86550285717166e-12,"GO:0098542 defense response to other organism","bp"
"GO:0002521 leukocyte differentiation",1.6449837644182e-11,7.16685328492998,1.6449837644182e-11,1.70872688528941e-09,84,1.6449837644182e-11,"GO:0002521 leukocyte differentiation","bp"
"GO:0006952 defense response",2.26327366381365e-11,6.78504143288942,2.26327366381363e-11,2.21268284074015e-09,189,2.26327366381365e-11,"GO:0006952 defense response","bp"
"GO:0001817 regulation of cytokine production",9.2338698321715e-11,6.83804473010049,9.23386983217159e-11,8.5259398117051e-09,86,9.23386983217149e-11,"GO:0001817 regulation of cytokine production","bp"
"GO:0002449 lymphocyte mediated immunity",1.28293915887924e-10,7.1803475288778,1.28293915887926e-10,1.12223414845122e-08,56,1.28293915887924e-10,"GO:0002449 lymphocyte mediated immunity","bp"
"GO:0045087 innate immune response",2.33269929745918e-10,6.60920268041916,2.33269929745918e-10,1.93847311618858e-08,91,2.33269929745918e-10,"GO:0045087 innate immune response","bp"
"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",2.52432131018341e-10,7.04130594570492,2.52432131018343e-10,1.99782000834517e-08,55,2.52432131018341e-10,"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","bp"
"GO:0051249 regulation of lymphocyte activation",4.14899587061676e-10,6.59517690915208,4.14899587061676e-10,3.13437778952957e-08,76,4.14899587061676e-10,"GO:0051249 regulation of lymphocyte activation","bp"
"GO:0030098 lymphocyte differentiation",6.61948055654014e-10,6.65671610952846,6.61948055654006e-10,4.78329421085634e-08,62,6.61948055654013e-10,"GO:0030098 lymphocyte differentiation","bp"
"GO:0006950 response to stress",7.36450088583515e-10,6.14211066268576,7.36450088583517e-10,5.09991686344086e-08,305,7.36450088583515e-10,"GO:0006950 response to stress","bp"
"GO:0002694 regulation of leukocyte activation",1.01872950144249e-09,6.3265978599924,1.01872950144249e-09,6.75795956319576e-08,91,1.01872950144249e-09,"GO:0002694 regulation of leukocyte activation","bp"
"GO:0050865 regulation of cell activation",1.0572018570583e-09,6.30445724901541,1.0572018570583e-09,6.75795956319576e-08,95,1.0572018570583e-09,"GO:0050865 regulation of cell activation","bp"
"GO:0009607 response to biotic stimulus",1.29004609584432e-09,6.12079814707332,1.29004609584432e-09,7.94095041219724e-08,170,1.29004609584432e-09,"GO:0009607 response to biotic stimulus","bp"
"GO:0044419 interspecies interaction between organisms",1.92432625485979e-09,6.03892452196515,1.92432625485978e-09,1.14222508413463e-07,182,1.92432625485979e-09,"GO:0044419 interspecies interaction between organisms","bp"
"GO:0043207 response to external biotic stimulus",2.58245599625620e-09,5.99889974115163,2.5824559962562e-09,1.43068062192594e-07,168,2.58245599625619e-09,"GO:0043207 response to external biotic stimulus","bp"
"GO:0051707 response to other organism",2.58245599625620e-09,5.99889974115163,2.5824559962562e-09,1.43068062192594e-07,168,2.58245599625619e-09,"GO:0051707 response to other organism","bp"
"GO:0002429 immune response-activating cell surface receptor signaling pathway",3.32328718699836e-09,6.85710750031307,3.32328718699838e-09,1.72603228274728e-07,43,3.32328718699835e-09,"GO:0002429 immune response-activating cell surface receptor signaling pathway","bp"
"GO:0002757 immune response-activating signal transduction",3.32328718699836e-09,6.85710750031307,3.32328718699838e-09,1.72603228274728e-07,43,3.32328718699835e-09,"GO:0002757 immune response-activating signal transduction","bp"
"GO:0042113 B cell activation",3.47804870372455e-09,7.38354120866386,3.47804870372457e-09,1.75167180169401e-07,37,3.47804870372455e-09,"GO:0042113 B cell activation","bp"
"GO:0001819 positive regulation of cytokine production",4.08095020778207e-09,6.36743710036562,4.08095020778208e-09,1.95772005442483e-07,55,4.08095020778207e-09,"GO:0001819 positive regulation of cytokine production","bp"
"GO:0002253 activation of immune response",4.12275583061787e-09,6.41252205762494,4.12275583061787e-09,1.95772005442483e-07,52,4.12275583061787e-09,"GO:0002253 activation of immune response","bp"
"GO:0009605 response to external stimulus",4.92326670964004e-09,5.82026572925952,4.92326670964004e-09,2.27290813095048e-07,284,4.92326670964003e-09,"GO:0009605 response to external stimulus","bp"
"GO:0048584 positive regulation of response to stimulus",6.71695142534877e-09,5.78468270664384,6.71695142534873e-09,3.01718196457557e-07,232,6.71695142534877e-09,"GO:0048584 positive regulation of response to stimulus","bp"
"GO:0002764 immune response-regulating signaling pathway",8.24638929170538e-09,6.4986202964805,8.24638929170536e-09,3.51423051354213e-07,44,8.24638929170538e-09,"GO:0002764 immune response-regulating signaling pathway","bp"
"GO:0002768 immune response-regulating cell surface receptor signaling pathway",8.24638929170538e-09,6.4986202964805,8.24638929170536e-09,3.51423051354213e-07,44,8.24638929170538e-09,"GO:0002768 immune response-regulating cell surface receptor signaling pathway","bp"
"GO:0002440 production of molecular mediator of immune response",1.08365042721119e-08,6.26071506085262,1.0836504272112e-08,4.50256752506253e-07,43,1.08365042721119e-08,"GO:0002440 production of molecular mediator of immune response","bp"
"GO:0032943 mononuclear cell proliferation",1.65264163971163e-08,6.03279804387681,1.65264163971162e-08,6.53973906000168e-07,55,1.65264163971163e-08,"GO:0032943 mononuclear cell proliferation","bp"
"GO:0046651 lymphocyte proliferation",1.65264163971163e-08,6.03279804387681,1.65264163971162e-08,6.53973906000168e-07,55,1.65264163971163e-08,"GO:0046651 lymphocyte proliferation","bp"
"GO:0002377 immunoglobulin production",2.05153030477243e-08,6.62522405543172,2.05153030477242e-08,7.92940317798084e-07,30,2.05153030477243e-08,"GO:0002377 immunoglobulin production","bp"
"GO:0007159 leukocyte cell-cell adhesion",2.67637014288665e-08,5.7593991002117,2.67637014288666e-08,1.01093799488128e-06,72,2.67637014288664e-08,"GO:0007159 leukocyte cell-cell adhesion","bp"
"GO:0050863 regulation of T cell activation",3.15842539871804e-08,5.7906199850966,3.15842539871804e-08,1.11750562660024e-06,62,3.15842539871804e-08,"GO:0050863 regulation of T cell activation","bp"
"GO:0002263 cell activation involved in immune response",3.16021446752176e-08,6.174272878756,3.16021446752174e-08,1.11750562660024e-06,40,3.16021446752176e-08,"GO:0002263 cell activation involved in immune response","bp"
"GO:0002366 leukocyte activation involved in immune response",3.16021446752176e-08,6.174272878756,3.16021446752174e-08,1.11750562660024e-06,40,3.16021446752176e-08,"GO:0002366 leukocyte activation involved in immune response","bp"
"GO:0050851 antigen receptor-mediated signaling pathway",3.3761114484583e-08,6.3398343599643,3.37611144845833e-08,1.1689785890287e-06,38,3.3761114484583e-08,"GO:0050851 antigen receptor-mediated signaling pathway","bp"
"GO:0007165 signal transduction",4.16718968248437e-08,5.40336370874258,4.16718968248438e-08,1.41344270454878e-06,461,4.16718968248438e-08,"GO:0007165 signal transduction","bp"
"GO:0050867 positive regulation of cell activation",4.88307097856889e-08,5.65532038189707,4.88307097856885e-08,1.59213240397138e-06,67,4.88307097856889e-08,"GO:0050867 positive regulation of cell activation","bp"
"GO:0002696 positive regulation of leukocyte activation",4.88560484973167e-08,5.66634107213862,4.88560484973167e-08,1.59213240397138e-06,65,4.88560484973167e-08,"GO:0002696 positive regulation of leukocyte activation","bp"
"GO:0070661 leukocyte proliferation",5.81943359364058e-08,5.69909133548708,5.81943359364055e-08,1.85998050627511e-06,58,5.81943359364059e-08,"GO:0070661 leukocyte proliferation","bp"
"GO:0002703 regulation of leukocyte mediated immunity",8.52650800433131e-08,6.05104930843242,8.52650800433125e-08,2.67378420815067e-06,37,8.5265080043313e-08,"GO:0002703 regulation of leukocyte mediated immunity","bp"
"GO:0002697 regulation of immune effector process",9.48906549578655e-08,5.61698585449979,9.48906549578658e-08,2.92052349148098e-06,54,9.48906549578656e-08,"GO:0002697 regulation of immune effector process","bp"
"GO:0002520 immune system development",1.41270248267559e-07,5.2827647880674,1.4127024826756e-07,4.26893004764881e-06,123,1.41270248267559e-07,"GO:0002520 immune system development","bp"
"GO:0051251 positive regulation of lymphocyte activation",1.49995754257561e-07,5.48872549133749,1.49995754257561e-07,4.45165970671548e-06,55,1.49995754257561e-07,"GO:0051251 positive regulation of lymphocyte activation","bp"
"GO:0032101 regulation of response to external stimulus",1.94663993906081e-07,5.25403120900987,1.94663993906081e-07,5.67599224336679e-06,100,1.94663993906081e-07,"GO:0032101 regulation of response to external stimulus","bp"
"GO:0030155 regulation of cell adhesion",2.09804267911443e-07,5.22687634642684,2.09804267911444e-07,6.01197747015207e-06,106,2.09804267911443e-07,"GO:0030155 regulation of cell adhesion","bp"
"GO:1903039 positive regulation of leukocyte cell-cell adhesion",2.72718361540813e-07,5.37742498013318,2.72718361540813e-07,7.68233757425137e-06,52,2.72718361540813e-07,"GO:1903039 positive regulation of leukocyte cell-cell adhesion","bp"
"GO:0048583 regulation of response to stimulus",3.53059983492567e-07,5.00483479909528,3.5305998349257e-07,9.77976154274418e-06,356,3.53059983492567e-07,"GO:0048583 regulation of response to stimulus","bp"
"GO:0050900 leukocyte migration",3.81158009666483e-07,5.2195337518516,3.81158009666486e-07,1.03849936404213e-05,63,3.81158009666483e-07,"GO:0050900 leukocyte migration","bp"
"GO:0006974 cellular response to DNA damage stimulus",4.01526196378448e-07,5.47124952789048,4.01526196378449e-07,1.0763492554532e-05,42,4.01526196378448e-07,"GO:0006974 cellular response to DNA damage stimulus","bp"
