"","p.geomean","stat.mean","p.val","q.val","set.size","exp1","path","process"
"GO:0006955 immune response",2.83247592201238e-07,5.2103985975217,2.83247592201239e-07,0.000172230438222256,82,2.83247592201238e-07,"GO:0006955 immune response","bp"
"GO:0050776 regulation of immune response",3.76290305272443e-07,5.34379322068365,3.7629030527244e-07,0.000172230438222256,44,3.76290305272442e-07,"GO:0050776 regulation of immune response","bp"
"GO:1903047 mitotic cell cycle process",4.35753871826556e-07,5.30500956987854,4.35753871826558e-07,0.000172230438222256,48,4.35753871826556e-07,"GO:1903047 mitotic cell cycle process","bp"
"GO:0071840 cellular component organization or biogenesis",5.56006354271512e-07,4.91765456722311,5.56006354271515e-07,0.000172230438222256,325,5.56006354271512e-07,"GO:0071840 cellular component organization or biogenesis","bp"
"GO:0002376 immune system process",7.04594120218196e-07,4.92190765805956,7.045941202182e-07,0.000172230438222256,153,7.04594120218196e-07,"GO:0002376 immune system process","bp"
"GO:0006996 organelle organization",8.82815117966036e-07,4.86786220874793,8.82815117966039e-07,0.000172230438222256,163,8.82815117966037e-07,"GO:0006996 organelle organization","bp"
"GO:0022402 cell cycle process",9.29014412644069e-07,4.97186923947196,9.29014412644071e-07,0.000172230438222256,74,9.2901441264407e-07,"GO:0022402 cell cycle process","bp"
"GO:0016043 cellular component organization",1.01610878007231e-06,4.79423695289704,1.01610878007231e-06,0.000172230438222256,322,1.01610878007231e-06,"GO:0016043 cellular component organization","bp"
"GO:0002682 regulation of immune system process",2.8721156050303e-06,4.67533967215796,2.8721156050303e-06,0.000432732084491232,91,2.8721156050303e-06,"GO:0002682 regulation of immune system process","bp"
"GO:0050778 positive regulation of immune response",3.73660266068847e-06,4.88406559207919,3.73660266068849e-06,0.000468384515707781,33,3.73660266068847e-06,"GO:0050778 positive regulation of immune response","bp"
"GO:0000278 mitotic cell cycle",3.79957940470913e-06,4.69503106349794,3.79957940470914e-06,0.000468384515707781,58,3.79957940470913e-06,"GO:0000278 mitotic cell cycle","bp"
"GO:0007049 cell cycle",5.64897127728821e-06,4.51620973389366,5.64897127728823e-06,0.00063833375433357,92,5.64897127728821e-06,"GO:0007049 cell cycle","bp"
"GO:0002684 positive regulation of immune system process",7.19684552836398e-06,4.52361188488722,7.19684552836398e-06,0.000701016974989391,61,7.19684552836399e-06,"GO:0002684 positive regulation of immune system process","bp"
"GO:0002250 adaptive immune response",7.23763838484622e-06,4.69666156357754,7.23763838484622e-06,0.000701016974989391,34,7.23763838484622e-06,"GO:0002250 adaptive immune response","bp"
"GO:0002252 immune effector process",1.31775499723351e-05,4.4365316738543,1.31775499723351e-05,0.0011912505174991,45,1.31775499723351e-05,"GO:0002252 immune effector process","bp"
"GO:0045321 leukocyte activation",1.74540989890467e-05,4.30052135049992,1.74540989890467e-05,0.00147923488932171,61,1.74540989890467e-05,"GO:0045321 leukocyte activation","bp"
"GO:0000819 sister chromatid segregation",2.17613306704064e-05,4.91529949835638,2.17613306704064e-05,0.00173578614053359,20,2.17613306704064e-05,"GO:0000819 sister chromatid segregation","bp"
"GO:0006974 cellular response to DNA damage stimulus",3.08518478561764e-05,4.4211975180096,3.08518478561764e-05,0.00232417253849862,27,3.08518478561764e-05,"GO:0006974 cellular response to DNA damage stimulus","bp"
"GO:0001775 cell activation",3.59988580725041e-05,4.09959861211675,3.59988580725043e-05,0.00256918166033241,67,3.59988580725041e-05,"GO:0001775 cell activation","bp"
"GO:0033043 regulation of organelle organization",4.68346484125362e-05,4.02698140385126,4.68346484125364e-05,0.00289896704828543,69,4.68346484125362e-05,"GO:0033043 regulation of organelle organization","bp"
"GO:0006950 response to stress",4.88666194711306e-05,3.94048303205579,4.88666194711308e-05,0.00289896704828543,182,4.88666194711306e-05,"GO:0006950 response to stress","bp"
"GO:0046649 lymphocyte activation",4.91379525516224e-05,4.06576030885554,4.91379525516224e-05,0.00289896704828543,49,4.91379525516224e-05,"GO:0046649 lymphocyte activation","bp"
"GO:0010564 regulation of cell cycle process",4.91712699930422e-05,4.14351033518003,4.9171269993042e-05,0.00289896704828543,36,4.91712699930422e-05,"GO:0010564 regulation of cell cycle process","bp"
"GO:0044772 mitotic cell cycle phase transition",5.37655790252425e-05,4.20979742049155,5.37655790252425e-05,0.0030377552149262,28,5.37655790252425e-05,"GO:0044772 mitotic cell cycle phase transition","bp"
"GO:0000070 mitotic sister chromatid segregation",5.70860430297593e-05,4.6175447773003,5.70860430297593e-05,0.00309634697393415,18,5.70860430297593e-05,"GO:0000070 mitotic sister chromatid segregation","bp"
"GO:0045087 innate immune response",5.93882698808249e-05,4.04331960269795,5.9388269880825e-05,0.00309732669070764,42,5.93882698808249e-05,"GO:0045087 innate immune response","bp"
"GO:0002443 leukocyte mediated immunity",6.43346743213122e-05,4.15824402214092,6.43346743213123e-05,0.00323103031035924,26,6.43346743213122e-05,"GO:0002443 leukocyte mediated immunity","bp"
"GO:0000280 nuclear division",7.55912027143787e-05,3.99646542415707,7.55912027143789e-05,0.00362056063355945,39,7.55912027143788e-05,"GO:0000280 nuclear division","bp"
"GO:0002831 regulation of response to biotic stimulus",7.79134683562022e-05,4.41319314672239,7.79134683562022e-05,0.00362056063355945,15,7.79134683562022e-05,"GO:0002831 regulation of response to biotic stimulus","bp"
"GO:0007059 chromosome segregation",8.01008989725544e-05,4.05646224716506,8.01008989725543e-05,0.00362056063355945,30,8.01008989725543e-05,"GO:0007059 chromosome segregation","bp"
"GO:0044770 cell cycle phase transition",9.09602109003634e-05,4.02970797436143,9.09602109003635e-05,0.003978775676803,29,9.09602109003635e-05,"GO:0044770 cell cycle phase transition","bp"
"GO:0098542 defense response to other organism",0.000111441718016848,3.83226724498519,0.000111441718016848,0.00451844298749786,51,0.000111441718016847,"GO:0098542 defense response to other organism","bp"
"GO:0042113 B cell activation",0.000111663277208125,4.91398786401175,0.000111663277208125,0.00451844298749786,14,0.000111663277208125,"GO:0042113 B cell activation","bp"
"GO:0051716 cellular response to stimulus",0.000113294293196849,3.70533221979084,0.000113294293196849,0.00451844298749786,379,0.000113294293196849,"GO:0051716 cellular response to stimulus","bp"
"GO:0140014 mitotic nuclear division",0.000125813612904784,3.96050509868037,0.000125813612904784,0.00480865093805093,27,0.000125813612904784,"GO:0140014 mitotic nuclear division","bp"
"GO:0007010 cytoskeleton organization",0.00012766329924029,3.73974055737857,0.00012766329924029,0.00480865093805093,82,0.00012766329924029,"GO:0007010 cytoskeleton organization","bp"
"GO:0048856 anatomical structure development",0.000144264073641447,3.6437253804709,0.000144264073641447,0.00528708334750818,354,0.000144264073641447,"GO:0048856 anatomical structure development","bp"
"GO:0048285 organelle fission",0.000150424360763237,3.77503581686627,0.000150424360763236,0.0053677745577618,43,0.000150424360763236,"GO:0048285 organelle fission","bp"
"GO:0051301 cell division",0.000167248995775822,3.74605426319038,0.000167248995775822,0.00581511893005165,42,0.000167248995775822,"GO:0051301 cell division","bp"
"GO:0031349 positive regulation of defense response",0.000177737974457428,4.04084046442196,0.000177737974457429,0.00597987668591379,16,0.000177737974457428,"GO:0031349 positive regulation of defense response","bp"
"GO:0007154 cell communication",0.000183475008977324,3.58046926889605,0.000183475008977323,0.00597987668591379,349,0.000183475008977324,"GO:0007154 cell communication","bp"
"GO:0032502 developmental process",0.000185217419475206,3.57661640915078,0.000185217419475206,0.00597987668591379,378,0.000185217419475206,"GO:0032502 developmental process","bp"
"GO:0050896 response to stimulus",0.000197307610489737,3.55674895760805,0.000197307610489737,0.00622207255404845,463,0.000197307610489737,"GO:0050896 response to stimulus","bp"
"GO:0051726 regulation of cell cycle",0.000208340167875491,3.63680090238572,0.00020834016787549,0.00642066517361739,58,0.00020834016787549,"GO:0051726 regulation of cell cycle","bp"
"GO:0007165 signal transduction",0.00024382827480196,3.50644791454124,0.00024382827480196,0.00734735868069905,306,0.00024382827480196,"GO:0007165 signal transduction","bp"
"GO:0048869 cellular developmental process",0.000282334145269889,3.4682271333509,0.000282334145269888,0.00832271958665148,280,0.000282334145269889,"GO:0048869 cellular developmental process","bp"
"GO:0030154 cell differentiation",0.000310956469855824,3.44177410490317,0.000310956469855824,0.00883702726120447,278,0.000310956469855824,"GO:0030154 cell differentiation","bp"
"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",0.000314293746861873,3.66489649542504,0.000314293746861873,0.00883702726120447,25,0.000314293746861873,"GO:0002460 adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","bp"
"GO:0048583 regulation of response to stimulus",0.000319332106046474,3.43654402432357,0.000319332106046474,0.00883702726120447,250,0.000319332106046475,"GO:0048583 regulation of response to stimulus","bp"
"GO:0023052 signaling",0.000337255646295141,3.41517588501063,0.000337255646295142,0.00914637312752424,350,0.000337255646295141,"GO:0023052 signaling","bp"
"GO:0007275 multicellular organism development",0.000349957498388322,3.40588453009016,0.000349957498388322,0.00930475231008951,329,0.000349957498388322,"GO:0007275 multicellular organism development","bp"
"GO:0048584 positive regulation of response to stimulus",0.000360395817398435,3.41776511051425,0.000360395817398436,0.00939801400754383,148,0.000360395817398435,"GO:0048584 positive regulation of response to stimulus","bp"
"GO:0002521 leukocyte differentiation",0.000369061449082002,3.5142018402463,0.000369061449082003,0.0094424023576452,40,0.000369061449082002,"GO:0002521 leukocyte differentiation","bp"
"GO:0002449 lymphocyte mediated immunity",0.000397570348151514,3.60737054804134,0.000397570348151514,0.00992364204690285,23,0.000397570348151514,"GO:0002449 lymphocyte mediated immunity","bp"
"GO:0006259 DNA metabolic process",0.000402507605147238,3.5632330499203,0.000402507605147239,0.00992364204690285,27,0.000402507605147238,"GO:0006259 DNA metabolic process","bp"
"GO:0098813 nuclear chromosome segregation",0.000422106049985728,3.59099206015518,0.000422106049985727,0.010113389055146,24,0.000422106049985728,"GO:0098813 nuclear chromosome segregation","bp"
"GO:0031347 regulation of defense response",0.000425120336388882,3.48210605076411,0.000425120336388882,0.010113389055146,37,0.000425120336388882,"GO:0031347 regulation of defense response","bp"
"GO:0002253 activation of immune response",0.000448330293414508,3.60519370275032,0.000448330293414508,0.0103741096112614,21,0.000448330293414508,"GO:0002253 activation of immune response","bp"
"GO:0032501 multicellular organismal process",0.000451380875416242,3.33088104997772,0.000451380875416243,0.0103741096112614,432,0.000451380875416242,"GO:0032501 multicellular organismal process","bp"
"GO:1901990 regulation of mitotic cell cycle phase transition",0.000490211529348815,3.577179252757,0.000490211529348815,0.0110787805632832,21,0.000490211529348815,"GO:1901990 regulation of mitotic cell cycle phase transition","bp"
"GO:0043170 macromolecule metabolic process",0.000505539989598042,3.30007969561593,0.000505539989598042,0.0112379053425401,390,0.000505539989598042,"GO:0043170 macromolecule metabolic process","bp"
"GO:0044085 cellular component biogenesis",0.000571138023865529,3.2913519977658,0.000571138023865529,0.0123087262810259,125,0.00057113802386553,"GO:0044085 cellular component biogenesis","bp"
"GO:0032103 positive regulation of response to external stimulus",0.000571865601552089,3.46951315189909,0.000571865601552088,0.0123087262810259,24,0.000571865601552088,"GO:0032103 positive regulation of response to external stimulus","bp"
"GO:0048513 animal organ development",0.000625121353336369,3.24790288770166,0.000625121353336368,0.0132447586738143,226,0.000625121353336369,"GO:0048513 animal organ development","bp"
"GO:0051239 regulation of multicellular organismal process",0.000645212742913715,3.23924220034356,0.000645212742913716,0.0134601304521692,221,0.000645212742913715,"GO:0051239 regulation of multicellular organismal process","bp"
"GO:0051983 regulation of chromosome segregation",0.000671281759185538,3.77360313563591,0.00067128175918554,0.0137917888705393,13,0.000671281759185537,"GO:0051983 regulation of chromosome segregation","bp"
"GO:0030183 B cell differentiation",0.000705634089679203,4.32016819032161,0.000705634089679203,0.0142811914269403,11,0.000705634089679203,"GO:0030183 B cell differentiation","bp"
"GO:0002429 immune response-activating cell surface receptor signaling pathway",0.000734145362248902,3.72847886394517,0.000734145362248902,0.0144058145931636,13,0.000734145362248902,"GO:0002429 immune response-activating cell surface receptor signaling pathway","bp"
"GO:0002757 immune response-activating signal transduction",0.000734145362248902,3.72847886394517,0.000734145362248902,0.0144058145931636,13,0.000734145362248902,"GO:0002757 immune response-activating signal transduction","bp"
"GO:0000075 cell cycle checkpoint",0.000745866125180661,3.80776384069993,0.00074586612518066,0.0144058145931636,13,0.000745866125180661,"GO:0000075 cell cycle checkpoint","bp"
"GO:0048518 positive regulation of biological process",0.000754286752296912,3.18555225800767,0.000754286752296914,0.0144058145931636,354,0.000754286752296912,"GO:0048518 positive regulation of biological process","bp"
"GO:1901987 regulation of cell cycle phase transition",0.000812508848614327,3.38059331032852,0.000812508848614329,0.0148624749439752,22,0.000812508848614326,"GO:1901987 regulation of cell cycle phase transition","bp"
"GO:0051128 regulation of cellular component organization",0.000816160008776776,3.18113492440689,0.000816160008776778,0.0148624749439752,141,0.000816160008776776,"GO:0051128 regulation of cellular component organization","bp"
"GO:0006796 phosphate-containing compound metabolic process",0.00082517562239969,3.1725914891693,0.000825175622399691,0.0148624749439752,171,0.00082517562239969,"GO:0006796 phosphate-containing compound metabolic process","bp"
"GO:0048731 system development",0.000840831187459599,3.15553087589721,0.000840831187459598,0.0148624749439752,305,0.000840831187459599,"GO:0048731 system development","bp"
"GO:0045088 regulation of innate immune response",0.000841796096109138,3.63251018547632,0.000841796096109136,0.0148624749439752,11,0.000841796096109138,"GO:0045088 regulation of innate immune response","bp"
"GO:0006952 defense response",0.000850770843489327,3.1863920931363,0.000850770843489326,0.0148624749439752,92,0.000850770843489328,"GO:0006952 defense response","bp"
"GO:0006807 nitrogen compound metabolic process",0.000854921125095918,3.14727828285554,0.000854921125095918,0.0148624749439752,400,0.000854921125095918,"GO:0006807 nitrogen compound metabolic process","bp"
"GO:0002694 regulation of leukocyte activation",0.00087940330565439,3.22315625563464,0.000879403305654389,0.0150945681324981,47,0.00087940330565439,"GO:0002694 regulation of leukocyte activation","bp"
"GO:0006793 phosphorus metabolic process",0.000899463492172952,3.14656070601217,0.000899463492172951,0.0152459061923315,172,0.000899463492172952,"GO:0006793 phosphorus metabolic process","bp"
"GO:0044419 interspecies interaction between organisms",0.0009279206310363,3.16138228280192,0.000927920631036299,0.0155340787121632,88,0.000927920631036299,"GO:0044419 interspecies interaction between organisms","bp"
"GO:0032101 regulation of response to external stimulus",0.000999273219220164,3.16629558840764,0.000999273219220164,0.0165245668934456,56,0.000999273219220164,"GO:0032101 regulation of response to external stimulus","bp"
"GO:0001816 cytokine production",0.00105203561959023,3.16688232805092,0.00105203561959023,0.017187473495956,46,0.00105203561959023,"GO:0001816 cytokine production","bp"
"GO:0009653 anatomical structure morphogenesis",0.00107833081278295,3.09045446801073,0.00107833081278295,0.0174073402634963,179,0.00107833081278295,"GO:0009653 anatomical structure morphogenesis","bp"
"GO:0022607 cellular component assembly",0.00111070735174616,3.09202298242579,0.00111070735174616,0.0177190490466799,122,0.00111070735174616,"GO:0022607 cellular component assembly","bp"
"GO:0007051 spindle organization",0.00117912676025374,3.38599793631903,0.00117912676025374,0.0185125121158391,15,0.00117912676025374,"GO:0007051 spindle organization","bp"
