SampleName,SampleType,Rep,Soil,Cohort,Flu,Time,Ear,Sample_or_Control,SampleNumber
Blank_1_S377,Blank,1,NA,NA,NA,NA,NA,Control,S377
Blank_2_S378,Blank,2,NA,NA,NA,NA,NA,Control,S378
Blank_3_S379,Blank,3,NA,NA,NA,NA,NA,Control,S379
Blank_4_S380,Blank,4,NA,NA,NA,NA,NA,Control,S380
Blank_5_S381,Blank,5,NA,NA,NA,NA,NA,Control,S381
Blank_6_S382,Blank,6,NA,NA,NA,NA,NA,Control,S382
Blank_7_S383,Blank,7,NA,NA,NA,NA,NA,Control,S383
Blank_8_S384,Blank,8,NA,NA,NA,NA,NA,Control,S384
Fecal_Ctrl_A_HI_14_L_S108,Fecal,1,Ctrl,A,HI,14,L,Sample,S108
Fecal_Ctrl_A_HI_14_O_S106,Fecal,2,Ctrl,A,HI,14,O,Sample,S106
Fecal_Ctrl_A_HI_14_R_S107,Fecal,3,Ctrl,A,HI,14,R,Sample,S107
Fecal_Ctrl_A_HI_35_L_S204,Fecal,4,Ctrl,A,HI,35,L,Sample,S204
Fecal_Ctrl_A_HI_35_O_S202,Fecal,5,Ctrl,A,HI,35,O,Sample,S202
Fecal_Ctrl_A_HI_35_R_S203,Fecal,6,Ctrl,A,HI,35,R,Sample,S203
Fecal_Ctrl_A_HI_L_0_S12,Fecal,7,Ctrl,A,HI,0,L,Sample,S12
Fecal_Ctrl_A_HI_O_0_S10,Fecal,8,Ctrl,A,HI,0,O,Sample,S10
Fecal_Ctrl_A_HI_R_0_S11,Fecal,9,Ctrl,A,HI,0,R,Sample,S11
Fecal_Ctrl_A_PR8_14_L_S99,Fecal,10,Ctrl,A,PR8,14,L,Sample,S99
Fecal_Ctrl_A_PR8_14_O_S97,Fecal,11,Ctrl,A,PR8,14,O,Sample,S97
Fecal_Ctrl_A_PR8_14_R_S98,Fecal,12,Ctrl,A,PR8,14,R,Sample,S98
Fecal_Ctrl_A_PR8_35_L_S195,Fecal,13,Ctrl,A,PR8,35,L,Sample,S195
Fecal_Ctrl_A_PR8_35_O_S193,Fecal,14,Ctrl,A,PR8,35,O,Sample,S193
Fecal_Ctrl_A_PR8_35_R_S194,Fecal,15,Ctrl,A,PR8,35,R,Sample,S194
Fecal_Ctrl_A_PR8_L_0_S3,Fecal,16,Ctrl,A,PR8,0,L,Sample,S3
Fecal_Ctrl_A_PR8_O_0_S1,Fecal,17,Ctrl,A,PR8,0,O,Sample,S1
Fecal_Ctrl_A_PR8_R_0_S2,Fecal,18,Ctrl,A,PR8,0,R,Sample,S2
Fecal_Ctrl_B_HI_14_L_S111,Fecal,19,Ctrl,B,HI,14,L,Sample,S111
Fecal_Ctrl_B_HI_14_O_S109,Fecal,20,Ctrl,B,HI,14,O,Sample,S109
Fecal_Ctrl_B_HI_14_R_S110,Fecal,21,Ctrl,B,HI,14,R,Sample,S110
Fecal_Ctrl_B_HI_35_L_S207,Fecal,22,Ctrl,B,HI,35,L,Sample,S207
Fecal_Ctrl_B_HI_35_O_S205,Fecal,23,Ctrl,B,HI,35,O,Sample,S205
Fecal_Ctrl_B_HI_35_R_S206,Fecal,24,Ctrl,B,HI,35,R,Sample,S206
Fecal_Ctrl_B_HI_L_0_S33,Fecal,25,Ctrl,B,HI,0,L,Sample,S33
Fecal_Ctrl_B_HI_O_0_S31,Fecal,26,Ctrl,B,HI,0,O,Sample,S31
Fecal_Ctrl_B_HI_R_0_S32,Fecal,27,Ctrl,B,HI,0,R,Sample,S32
Fecal_Ctrl_B_PR8_14_L_S102,Fecal,28,Ctrl,B,PR8,14,L,Sample,S102
Fecal_Ctrl_B_PR8_14_O_S100,Fecal,29,Ctrl,B,PR8,14,O,Sample,S100
Fecal_Ctrl_B_PR8_14_R_S101,Fecal,30,Ctrl,B,PR8,14,R,Sample,S101
Fecal_Ctrl_B_PR8_35_L_S198,Fecal,31,Ctrl,B,PR8,35,L,Sample,S198
Fecal_Ctrl_B_PR8_35_O_S196,Fecal,32,Ctrl,B,PR8,35,O,Sample,S196
Fecal_Ctrl_B_PR8_35_R_S197,Fecal,33,Ctrl,B,PR8,35,R,Sample,S197
Fecal_Ctrl_B_PR8_L_0_S6,Fecal,34,Ctrl,B,PR8,0,L,Sample,S6
Fecal_Ctrl_B_PR8_O_0_S4,Fecal,35,Ctrl,B,PR8,0,O,Sample,S4
Fecal_Ctrl_B_PR8_R_0_S5,Fecal,36,Ctrl,B,PR8,0,R,Sample,S5
Fecal_Ctrl_C_HI_14_L_S114,Fecal,37,Ctrl,C,HI,14,L,Sample,S114
Fecal_Ctrl_C_HI_14_O_S112,Fecal,38,Ctrl,C,HI,14,O,Sample,S112
Fecal_Ctrl_C_HI_14_R_S113,Fecal,39,Ctrl,C,HI,14,R,Sample,S113
Fecal_Ctrl_C_HI_35_L_S210,Fecal,40,Ctrl,C,HI,35,L,Sample,S210
Fecal_Ctrl_C_HI_35_O_S208,Fecal,41,Ctrl,C,HI,35,O,Sample,S208
Fecal_Ctrl_C_HI_35_R_S209,Fecal,42,Ctrl,C,HI,35,R,Sample,S209
Fecal_Ctrl_C_HI_L_0_S18,Fecal,43,Ctrl,C,HI,0,L,Sample,S18
Fecal_Ctrl_C_HI_O_0_S16,Fecal,44,Ctrl,C,HI,0,O,Sample,S16
Fecal_Ctrl_C_HI_R_0_S17,Fecal,45,Ctrl,C,HI,0,R,Sample,S17
Fecal_Ctrl_C_PR8_14_L_S105,Fecal,46,Ctrl,C,PR8,14,L,Sample,S105
Fecal_Ctrl_C_PR8_14_O_S103,Fecal,47,Ctrl,C,PR8,14,O,Sample,S103
Fecal_Ctrl_C_PR8_14_R_S104,Fecal,48,Ctrl,C,PR8,14,R,Sample,S104
Fecal_Ctrl_C_PR8_35_L_S201,Fecal,49,Ctrl,C,PR8,35,L,Sample,S201
Fecal_Ctrl_C_PR8_35_O_S199,Fecal,50,Ctrl,C,PR8,35,O,Sample,S199
Fecal_Ctrl_C_PR8_35_R_S200,Fecal,51,Ctrl,C,PR8,35,R,Sample,S200
Fecal_Ctrl_C_PR8_L_0_S9,Fecal,52,Ctrl,C,PR8,0,L,Sample,S9
Fecal_Ctrl_C_PR8_O_0_S7,Fecal,53,Ctrl,C,PR8,0,O,Sample,S7
Fecal_Ctrl_C_PR8_R_0_S8,Fecal,54,Ctrl,C,PR8,0,R,Sample,S8
Fecal_Pine_A_HI_14_L_S126,Fecal,55,Pine,A,HI,14,L,Sample,S126
Fecal_Pine_A_HI_14_O_S124,Fecal,56,Pine,A,HI,14,O,Sample,S124
Fecal_Pine_A_HI_14_R_S125,Fecal,57,Pine,A,HI,14,R,Sample,S125
Fecal_Pine_A_HI_35_L_S222,Fecal,58,Pine,A,HI,35,L,Sample,S222
Fecal_Pine_A_HI_35_O_S220,Fecal,59,Pine,A,HI,35,O,Sample,S220
Fecal_Pine_A_HI_35_R_S221,Fecal,60,Pine,A,HI,35,R,Sample,S221
Fecal_Pine_A_HI_L_0_S30,Fecal,61,Pine,A,HI,0,L,Sample,S30
Fecal_Pine_A_HI_O_0_S28,Fecal,62,Pine,A,HI,0,O,Sample,S28
Fecal_Pine_A_HI_R_0_S29,Fecal,63,Pine,A,HI,0,R,Sample,S29
Fecal_Pine_A_PR8_14_L_S117,Fecal,64,Pine,A,PR8,14,L,Sample,S117
Fecal_Pine_A_PR8_14_O_S115,Fecal,65,Pine,A,PR8,14,O,Sample,S115
Fecal_Pine_A_PR8_14_R_S116,Fecal,66,Pine,A,PR8,14,R,Sample,S116
Fecal_Pine_A_PR8_35_L_S213,Fecal,67,Pine,A,PR8,35,L,Sample,S213
