"","row","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name","Soil"
"1","ENSMUSG00000025934",4002.93539835203,-1.43564367958412,0.431622784322248,-3.32615360386599,0.000880533898699171,0.0691734511268677,"Gsta3","14859","glutathione S-transferase, alpha 3","Pine"
"2","ENSMUSG00000025936",484.239300145501,-1.64061940512879,0.485335549029049,-3.38038169347161,0.000723852298654675,0.0626753938706147,"Gm4956","241041","predicted gene 4956","Pine"
"3","ENSMUSG00000026077",146.074101882299,1.66714688666835,0.415776659148975,4.00971735662295,6.07914715015356e-05,0.0181848928903492,"Npas2","18143","neuronal PAS domain protein 2","Pine"
"4","ENSMUSG00000026043",14944.0517663068,1.46733658092051,0.356657177034329,4.11413725954344,3.88630150174333e-05,0.0141558676171317,"Col3a1","12825","collagen, type III, alpha 1","Pine"
"5","ENSMUSG00000102776",31.9327821434942,-1.38849911278987,0.426087526258875,-3.25871805021175,0.00111916834140114,0.0793128837766084,NA,NA,NA,"Pine"
"6","ENSMUSG00000055866",1650.64822452703,-1.59090287923302,0.374397042019316,-4.24923997970833,2.14497030791895e-05,0.00996225814854252,"Per2","18627","period circadian clock 2","Pine"
"7","ENSMUSG00000037035",562.265480431451,1.00868705213186,0.279496868962424,3.60893864706394,0.000307452305088948,0.0429185027663105,"Inhbb","16324","inhibin beta-B","Pine"
"8","ENSMUSG00000042115",440.927689856541,1.00476586666998,0.279535944888741,3.59440667664365,0.00032513165635373,0.0435832339225943,"Klhdc8a","213417","kelch domain containing 8A","Pine"
"9","ENSMUSG00000026398",25.8666909209756,1.9006055022495,0.567669872363296,3.34808238869008,0.000813728165914447,0.0666628162809433,"Nr5a2","26424","nuclear receptor subfamily 5, group A, member 2","Pine"
"10","ENSMUSG00000040170",21446.861131458,-1.46778904988467,0.39318574244657,-3.73306783901029,0.000189161619951478,0.0340868253199515,"Fmo2","55990","flavin containing monooxygenase 2","Pine"
"11","ENSMUSG00000103089",96.2082214327346,-1.21294761051426,0.325155609002468,-3.73036040877602,0.000191206057378616,0.0340868253199515,NA,NA,NA,"Pine"
"12","ENSMUSG00000026971",1788.52857992183,1.45308253260815,0.275204342761746,5.28001309145813,1.29174656652916e-07,0.000227980351526731,"Itgb6","16420","integrin beta 6","Pine"
"13","ENSMUSG00000049044",1293.07015017943,-1.30866505562081,0.322230900360975,-4.0612649319317,4.88075460897551e-05,0.0164443133117595,"Rapgef4","56508","Rap guanine nucleotide exchange factor (GEF) 4","Pine"
"14","ENSMUSG00000074971",1049.83713228365,-1.24739493305819,0.388578893991514,-3.21014587345402,0.00132667626914663,0.0873675726648092,"Fibin","67606","fin bud initiation factor homolog (zebrafish)","Pine"
"15","ENSMUSG00000040035",248.818845266525,2.29116854281371,0.681997582331479,3.35949657619183,0.000780846188490586,0.0653135278704756,"Disp2","214240","dispatched RND tramsporter family member 2","Pine"
